COD_UBIC_P,DESC_LINEA,COD_VARIAN,franja_horaria,cant_viajes
567,127,2672,18-00,2
567,127,2674,00-10,34
567,127,2674,10-18,62
567,127,3184,00-10,39
567,127,3184,10-18,4
567,127,3187,00-10,9
567,127,3187,10-18,126
567,133,2983,00-10,53
567,133,2983,18-00,28
567,133,2985,18-00,7
567,191,1391,00-10,80
567,191,1391,10-18,415
567,191,1391,18-00,421
567,191,1394,10-18,14
567,404,2822,10-18,60
567,404,2822,18-00,1
567,427,83,00-10,81
567,427,83,10-18,441
567,427,83,18-00,216
567,427,84,00-10,2
567,427,84,10-18,32
567,427,84,18-00,21
567,427,85,10-18,1
567,427,1955,00-10,3
567,427,2123,10-18,14
567,427,2123,18-00,56
567,427,2124,10-18,27
567,427,2358,00-10,3
567,427,2358,10-18,123
567,427,2358,18-00,47
567,427,2360,00-10,8
567,427,2360,10-18,107
567,427,2360,18-00,23
567,456,2088,00-10,59
567,456,2088,10-18,1140
567,456,2088,18-00,337
567,456,2996,00-10,198
567,456,2996,10-18,32
567,456,2996,18-00,289
